Date, Open, High, Low, Close, Volume
05/30/25, 505.185, 505.72, 500.185, 503.96, 9153084
05/29/25, 504.00, 506.55, 501.20, 506.18, 3657310
05/28/25, 508.39, 509.10, 502.83, 503.11, 3613850
05/27/25, 506.425, 509.75, 505.01, 509.16, 4928325
05/23/25, 501.005, 505.50, 500.25, 503.46, 3166844
05/22/25, 505.10, 507.40, 502.64, 503.57, 3244774
05/21/25, 507.41, 509.9999, 505.40, 507.03, 3815801
05/20/25, 511.11, 512.075, 506.5514, 508.74, 3736959
05/19/25, 513.615, 513.79, 510.10, 512.39, 3441451
05/16/25, 509.63, 514.33, 506.80, 514.31, 4997321
05/15/25, 502.375, 509.78, 501.62, 507.33, 5040862
05/14/25, 511.85, 511.85, 502.80, 503.40, 6384053
05/13/25, 515.64, 515.75, 511.80, 511.88, 4504120
05/12/25, 520.30, 520.30, 510.25, 514.30, 6368046
05/09/25, 514.25, 515.91, 510.2533, 513.74, 3621402
05/08/25, 520.98, 521.2591, 513.0401, 513.25, 5018581
05/07/25, 515.015, 520.25, 513.00, 518.22, 5581423
05/06/25, 509.57, 515.75, 507.99, 512.33, 6088592
05/05/25, 520.08, 521.18, 502.8001, 512.15, 16380220
05/02/25, 536.75, 542.07, 535.2581, 539.80, 4945569
05/01/25, 531.00, 533.265, 528.30, 530.23, 4693069
04/30/25, 531.51, 535.72, 524.0032, 533.25, 5251647
04/29/25, 531.00, 535.34, 528.29, 534.57, 3177729
04/28/25, 533.63, 536.82, 526.58, 530.94, 4238653
04/25/25, 531.75, 532.4399, 526.79, 530.96, 2742786
04/24/25, 526.81, 533.13, 523.16, 531.64, 3173404
04/23/25, 527.50, 532.27, 523.885, 526.81, 4294462
04/22/25, 514.23, 522.22, 511.65, 520.79, 4768491
04/21/25, 517.53, 518.67, 498.08, 506.92, 4908377
04/17/25, 518.895, 523.88, 514.5701, 518.21, 5322242
04/16/25, 529.30, 530.13, 512.89, 516.45, 5889277
04/15/25, 532.62, 535.92, 527.36, 528.17, 4329208
04/14/25, 531.00, 536.52, 526.98, 529.52, 5512121
04/11/25, 515.00, 526.58, 510.77, 524.11, 6231015
04/10/25, 518.30, 521.41, 498.6088, 515.81, 7475863
04/09/25, 490.00, 523.93, 485.5596, 521.41, 10153680
04/08/25, 509.025, 516.00, 484.19, 492.64, 9470118
04/07/25, 467.415, 505.8451, 462.10, 490.38, 12749750
04/04/25, 519.00, 521.00, 492.98, 493.54, 12605030
04/03/25, 527.62, 538.80, 525.14, 530.16, 6410854
04/02/25, 532.13, 539.00, 530.82, 537.72, 4079044
04/01/25, 531.88, 536.41, 527.5001, 532.99, 4130570
03/31/25, 521.40, 536.52, 519.00, 532.58, 7139333
03/28/25, 535.35, 536.00, 524.6791, 526.31, 5321395
03/27/25, 533.25, 537.38, 529.3537, 534.52, 5154608
03/26/25, 531.00, 537.63, 530.98, 533.21, 5010845
03/25/25, 527.185, 533.29, 525.8804, 528.87, 3964761
03/24/25, 523.10, 527.30, 521.48, 525.85, 4858877
03/21/25, 528.31, 528.96, 520.73, 521.91, 8546279
03/20/25, 524.00, 530.6091, 522.67, 528.73, 4065426
03/19/25, 525.69, 526.71, 520.655, 525.27, 3797997
03/18/25, 525.45, 528.38, 521.42, 523.14, 4857806
03/17/25, 514.62, 524.71, 513.21, 523.01, 5343389
03/14/25, 506.95, 515.84, 502.92, 514.60, 5775588
03/13/25, 496.46, 507.398, 494.75, 504.25, 5104202
03/12/25, 497.60, 498.3233, 488.75, 495.94, 3871096
03/11/25, 496.00, 499.15, 491.3101, 496.25, 5358269
03/10/25, 490.00, 500.449, 490.00, 497.10, 6261980
03/07/25, 496.29, 498.27, 490.11, 495.62, 3842150
03/06/25, 496.835, 499.10, 491.6314, 497.84, 3989662
03/05/25, 496.00, 500.93, 492.32, 498.50, 4715777
03/04/25, 507.27, 508.73, 493.6091, 495.86, 6126619
03/03/25, 516.22, 518.77, 506.48, 510.08, 5112297
02/28/25, 507.46, 515.37, 504.3333, 513.83, 6850339
02/27/25, 496.45, 504.95, 495.61, 502.41, 4507714
02/26/25, 499.115, 499.90, 493.05, 494.10, 3543491
02/25/25, 503.15, 507.00, 491.90, 499.82, 6757512
02/24/25, 483.50, 503.9599, 483.24, 498.42, 9862446
02/21/25, 480.95, 483.64, 477.74, 478.74, 4085076
02/20/25, 484.125, 484.20, 478.14, 481.80, 2650957
02/19/25, 482.82, 484.72, 480.68, 483.77, 2436465
02/18/25, 480.40, 484.06, 477.63, 482.82, 3351014
02/14/25, 481.47, 484.55, 479.45, 479.59, 2825755
02/13/25, 471.55, 481.19, 471.20, 480.49, 3274693
02/12/25, 470.44, 472.15, 468.09, 471.73, 3297561
02/11/25, 470.05, 473.05, 466.715, 472.61, 2322610
02/10/25, 473.96, 474.20, 469.3701, 470.17, 2907341
02/07/25, 477.41, 478.25, 472.34, 472.74, 3205136
02/06/25, 475.46, 478.00, 473.28, 477.22, 3832693
02/05/25, 469.81, 474.24, 468.89, 473.73, 3782754
02/04/25, 464.94, 467.91, 462.70, 467.49, 3238419
02/03/25, 461.30, 466.74, 454.60, 464.61, 4232007
01/31/25, 471.84, 472.55, 467.0101, 468.67, 5442624
01/30/25, 472.20, 474.0643, 469.15, 472.35, 2552240
01/29/25, 469.88, 473.92, 468.00, 469.26, 2524211
01/28/25, 473.93, 473.93, 469.30, 469.97, 3261260
01/27/25, 464.30, 474.93, 464.30, 474.70, 4535629
01/24/25, 459.20, 463.81, 457.08, 463.19, 3070305
01/23/25, 461.68, 464.76, 458.00, 459.83, 4424526
01/22/25, 468.59, 468.89, 455.28, 460.51, 5838478
01/21/25, 471.00, 473.17, 467.72, 468.57, 4910195
01/17/25, 464.71, 470.18, 462.4547, 467.95, 6466973
01/16/25, 458.93, 462.96, 458.3001, 462.81, 3475694
01/15/25, 455.55, 459.09, 453.27, 458.51, 4719411
01/14/25, 445.50, 450.30, 443.92, 450.03, 4055602
01/13/25, 442.04, 445.00, 441.15, 443.91, 3639248
01/10/25, 452.66, 453.00, 440.10, 442.66, 5471869
01/08/25, 453.63, 454.00, 449.63, 451.84, 3933259
01/07/25, 452.80, 456.515, 451.10, 452.92, 3507166
01/06/25, 453.85, 456.2399, 450.57, 451.41, 4072913
01/03/25, 452.53, 454.5269, 450.12, 453.56, 2887160
01/02/25, 455.96, 456.8899, 450.03, 451.10, 3751194
12/31/24, 452.205, 454.33, 451.11, 453.28, 3380714
12/30/24, 454.245, 454.69, 449.1765, 452.16, 2831375
12/27/24, 457.30, 461.13, 454.48, 456.51, 3237722
12/26/24, 457.265, 459.48, 455.795, 459.08, 2160799
12/24/24, 455.41, 458.99, 454.07, 458.66, 1761174
12/23/24, 453.19, 454.55, 449.82, 454.35, 3836007
12/20/24, 449.11, 458.65, 447.19, 453.20, 12943910
12/19/24, 451.73, 453.80, 448.89, 449.34, 4645222
12/18/24, 457.06, 458.73, 446.09, 446.59, 4361857
12/17/24, 454.695, 456.62, 452.06, 455.66, 5057506
12/16/24, 459.17, 460.4244, 454.58, 455.20, 4513980
12/13/24, 460.51, 460.51, 457.01, 457.90, 3474337
12/12/24, 462.16, 463.57, 458.08, 458.63, 2571349
12/11/24, 463.33, 465.48, 458.77, 461.39, 3876913
12/10/24, 464.42, 464.99, 459.50, 462.49, 3648541
12/09/24, 470.60, 471.70, 463.42, 463.87, 3748171
12/06/24, 470.58, 472.08, 467.82, 470.50, 3270943
12/05/24, 468.78, 472.74, 468.72, 470.57, 3320231
12/04/24, 471.09, 471.34, 466.50, 468.32, 3941100
12/03/24, 478.16, 478.30, 468.805, 470.19, 4931573
12/02/24, 484.80, 485.09, 474.75, 477.33, 5031497
11/29/24, 485.37, 486.01, 482.05, 483.02, 2969703
11/27/24, 481.00, 491.67, 480.87, 483.08, 5359291
11/26/24, 478.20, 479.40, 472.85, 478.56, 3331974
11/25/24, 479.13, 482.50, 476.79, 477.43, 5246561
11/22/24, 472.27, 477.4399, 471.61, 476.57, 3885177
11/21/24, 469.445, 474.66, 467.00, 472.06, 4116801
11/20/24, 470.00, 470.6149, 466.11, 468.83, 3019456
11/19/24, 470.77, 470.77, 465.01, 468.86, 3656243
11/18/24, 470.98, 472.6713, 468.36, 472.20, 3358434
11/15/24, 466.74, 472.2551, 465.19, 470.28, 5817672
11/14/24, 468.81, 469.4493, 466.00, 467.70, 3777267
11/13/24, 466.41, 468.40, 464.00, 468.10, 2861709
11/12/24, 467.69, 468.42, 465.15, 466.29, 4400521
11/11/24, 466.01, 470.51, 464.00, 467.36, 4119111
11/08/24, 461.98, 466.35, 459.5001, 463.41, 3541302
11/07/24, 468.27, 468.46, 460.10, 460.13, 4237986
11/06/24, 461.00, 469.26, 459.4801, 468.90, 6906833
11/05/24, 442.29, 445.23, 441.10, 445.06, 3154357
11/04/24, 450.37, 450.70, 437.90, 442.29, 5733184
11/01/24, 451.49, 455.12, 450.70, 452.14, 2971342
10/31/24, 455.19, 456.84, 450.57, 450.92, 3660308
10/30/24, 454.67, 457.6699, 453.82, 454.96, 2692082
10/29/24, 458.60, 458.92, 454.39, 454.62, 3985180
10/28/24, 455.59, 459.24, 455.00, 458.49, 4103359
10/25/24, 458.60, 459.45, 453.03, 454.01, 2838884
10/24/24, 460.90, 461.05, 453.96, 457.77, 3793479
10/23/24, 460.15, 463.26, 458.745, 460.61, 3655203
10/22/24, 464.11, 465.1453, 457.60, 461.45, 3315151
10/21/24, 464.53, 465.7899, 461.68, 464.16, 3131480
10/18/24, 467.00, 467.00, 463.25, 464.80, 5635463
10/17/24, 466.10, 467.8393, 464.27, 465.85, 2520903
10/16/24, 463.25, 466.00, 462.20, 465.69, 3166265
10/15/24, 460.99, 466.66, 460.51, 462.68, 3929879
10/14/24, 461.92, 462.00, 458.10, 459.98, 2969790
10/11/24, 455.90, 463.45, 455.90, 460.21, 3243402
10/10/24, 457.50, 457.505, 452.7249, 454.93, 2375788
10/09/24, 452.75, 457.875, 452.355, 455.90, 2206063
10/08/24, 455.96, 457.56, 452.85, 453.80, 2234137
10/07/24, 462.34, 462.34, 452.4101, 453.50, 3222061
10/04/24, 455.01, 462.18, 453.81, 461.97, 3093491
10/03/24, 455.47, 455.97, 450.92, 452.96, 2564713
10/02/24, 458.70, 458.70, 454.19, 456.67, 2803429
10/01/24, 459.11, 459.79, 454.82, 457.41, 3043696
09/30/24, 458.40, 460.63, 454.5507, 460.26, 3637071
09/27/24, 456.04, 458.27, 455.04, 457.47, 2727975
09/26/24, 452.74, 457.00, 451.34, 454.18, 3262045
09/25/24, 454.90, 455.81, 451.21, 452.36, 2843311
09/24/24, 454.33, 455.5999, 451.77, 454.56, 3009852
09/23/24, 457.31, 459.6545, 453.42, 454.98, 3485083
09/20/24, 457.76, 457.95, 454.05, 455.31, 8468764
09/19/24, 462.00, 462.19, 457.25, 459.71, 3891344
09/18/24, 458.08, 459.84, 454.8801, 456.60, 3065217
09/17/24, 453.50, 461.10, 453.29, 456.68, 3824256
09/16/24, 448.80, 452.99, 448.34, 451.78, 3264367
09/13/24, 451.58, 452.4285, 447.21, 447.61, 3882598
09/12/24, 454.84, 455.00, 449.27, 450.87, 3855713
09/11/24, 457.62, 457.62, 445.25, 453.10, 5772729
09/10/24, 461.82, 464.32, 456.21, 458.92, 3544103
09/09/24, 463.97, 466.00, 459.26, 459.61, 4571041
09/06/24, 463.82, 468.17, 458.55, 459.42, 4400294
09/05/24, 479.43, 479.43, 462.88, 464.92, 6213155
09/04/24, 478.68, 484.82, 474.22, 478.57, 5316318
09/03/24, 475.00, 482.89, 473.72, 476.83, 7504330
08/30/24, 470.52, 476.95, 470.00, 475.92, 7465778
08/29/24, 467.11, 469.85, 463.00, 468.37, 4459412
08/28/24, 461.17, 466.60, 460.78, 464.59, 4838124
08/27/24, 455.94, 462.10, 454.62, 460.63, 3764691
08/26/24, 455.305, 459.2699, 453.34, 454.49, 3578262
08/23/24, 450.00, 453.72, 448.81, 453.38, 2805379
08/22/24, 446.30, 449.60, 444.65, 449.03, 3502793
08/21/24, 449.84, 451.28, 443.84, 446.60, 3028530
08/20/24, 449.30, 450.50, 446.38, 448.36, 2906497
08/19/24, 446.01, 450.45, 445.73, 448.77, 3385343
08/16/24, 441.55, 445.204, 440.4545, 444.51, 3344974
08/15/24, 441.80, 442.59, 438.72, 440.84, 3226437
08/14/24, 433.00, 438.98, 431.71, 438.47, 2860174
08/13/24, 431.83, 432.81, 425.90, 432.41, 3471965
08/12/24, 434.16, 434.16, 429.01, 430.39, 2376042
08/09/24, 431.92, 434.75, 430.21, 431.67, 2602645
08/08/24, 429.24, 432.2599, 427.60, 431.54, 3149984
08/07/24, 426.07, 433.17, 425.60, 427.02, 4745587
08/06/24, 416.41, 427.46, 415.10, 422.14, 5138707
08/05/24, 413.43, 417.82, 406.11, 413.72, 7695125
08/02/24, 429.77, 436.25, 423.4901, 428.36, 4251527
08/01/24, 439.67, 440.61, 430.95, 431.81, 3892292
07/31/24, 439.85, 440.85, 437.74, 438.50, 3798765
07/30/24, 439.51, 443.8905, 439.14, 441.26, 3736411
07/29/24, 438.01, 439.44, 435.49, 438.31, 2619986
07/26/24, 435.66, 439.00, 434.10, 437.66, 2717621
07/25/24, 431.60, 439.625, 431.60, 433.29, 3334269
07/24/24, 433.99, 435.41, 430.73, 432.80, 3143717
07/23/24, 437.34, 437.92, 433.47, 434.01, 2393018
07/22/24, 435.05, 438.11, 432.12, 435.98, 2995689
07/19/24, 442.67, 442.80, 433.35, 434.47, 4158849
07/18/24, 445.62, 449.25, 439.57, 441.82, 4638333
