Buy Threshold,Sell Threshold,Final Portfolio Value,Net Gain
491.5,507.5,1292.09,292.09
494.5,507.5,1292.09,292.09
490.0,508.5,1292.09,292.09
490.0,508.0,1292.09,292.09
490.0,507.5,1292.09,292.09
491.5,508.0,1292.09,292.09
493.0,507.5,1292.09,292.09
493.0,508.0,1292.09,292.09
493.0,508.5,1292.09,292.09
493.0,509.0,1292.09,292.09
493.5,507.5,1292.09,292.09
493.5,508.0,1292.09,292.09
493.5,508.5,1292.09,292.09
493.5,509.0,1292.09,292.09
494.0,507.5,1292.09,292.09
494.0,508.0,1292.09,292.09
494.0,508.5,1292.09,292.09
490.0,509.0,1292.09,292.09
492.5,509.0,1292.09,292.09
492.5,508.5,1292.09,292.09
