Date, Open, High, Low, Close, Volume
06/02/25, 98.84, 99.905, 98.05, 99.77, 16999211
05/30/25, 96.96, 98.93, 96.60, 98.72, 29980070
05/29/25, 97.63, 97.77, 96.8509, 97.10, 14343740
05/28/25, 97.52, 98.24, 97.06, 97.24, 11220100
05/27/25, 97.30, 97.795, 96.58, 97.58, 17180939
05/23/25, 95.34, 96.54, 95.00, 96.34, 13668620
05/22/25, 96.54, 96.96, 95.815, 95.93, 13712160
05/21/25, 97.125, 97.7556, 95.975, 96.43, 15742340
05/20/25, 98.555, 98.8183, 96.52, 97.80, 15609610
05/19/25, 96.65, 98.28, 95.81, 98.12, 20041570
05/16/25, 96.14, 99.1946, 95.995, 98.24, 33746191
05/15/25, 94.30, 96.72, 91.89, 96.35, 44026129
05/14/25, 96.025, 97.33, 95.83, 96.83, 25620109
05/13/25, 96.50, 97.32, 95.225, 95.88, 19746660
05/12/25, 97.67, 97.97, 95.62, 96.75, 26783930
05/09/25, 96.75, 97.20, 96.29, 96.72, 13697820
05/08/25, 98.75, 99.33, 97.355, 97.43, 14461120
05/07/25, 98.55, 99.2308, 98.31, 98.83, 11310190
05/06/25, 98.74, 99.47, 98.41, 98.55, 10626000
05/05/25, 98.94, 99.74, 98.53, 99.33, 12439130
05/02/25, 97.95, 99.22, 97.85, 98.75, 16031370
05/01/25, 97.015, 97.90, 96.59, 97.41, 13171780
04/30/25, 95.94, 97.78, 94.93, 97.25, 21639859
04/29/25, 94.84, 96.18, 94.42, 96.04, 12679030
04/28/25, 95.10, 96.00, 94.34, 95.22, 12950000
04/25/25, 95.80, 96.47, 94.36, 95.09, 15317220
04/24/25, 94.71, 96.215, 93.6601, 95.84, 13444530
04/23/25, 95.0164, 96.60, 94.1619, 94.96, 18046891
04/22/25, 92.88, 95.29, 92.88, 94.85, 15407770
04/21/25, 93.02, 94.08, 91.34, 92.41, 18361211
04/17/25, 91.83, 93.87, 91.62, 93.22, 21393920
04/16/25, 94.00, 94.30, 90.61, 91.19, 22229109
04/15/25, 94.82, 96.03, 93.87, 93.97, 21871211
04/14/25, 93.27, 95.44, 92.90, 94.73, 27742920
04/11/25, 90.68, 93.35, 90.01, 92.80, 25508141
04/10/25, 88.73, 91.87, 88.1634, 90.61, 34735320
04/09/25, 83.325, 90.80, 83.02, 89.60, 46632762
04/08/25, 85.85, 86.965, 81.03, 81.79, 34351738
04/07/25, 80.24, 86.26, 79.81, 83.83, 36884941
04/04/25, 85.64, 87.39, 82.65, 83.19, 36209020
04/03/25, 86.28, 89.88, 86.28, 87.26, 33012930
04/02/25, 88.20, 90.145, 88.1175, 89.76, 19384141
04/01/25, 87.535, 89.11, 87.37, 88.83, 22080250
03/31/25, 84.76, 88.20, 84.37, 87.79, 30269311
03/28/25, 85.43, 85.83, 84.70, 85.15, 14790570
03/27/25, 84.775, 86.11, 84.775, 85.63, 16782811
03/26/25, 85.19, 85.56, 84.57, 85.21, 27241500
03/25/25, 86.76, 87.305, 84.62, 84.76, 27908570
03/24/25, 86.47, 87.65, 86.35, 87.49, 17900730
03/21/25, 85.28, 86.23, 84.78, 85.98, 26797180
03/20/25, 85.81, 87.08, 85.515, 85.81, 18185510
03/19/25, 85.95, 86.785, 85.62, 86.33, 24555859
03/18/25, 87.44, 87.675, 85.50, 85.59, 17850930
03/17/25, 85.13, 87.985, 84.98, 87.46, 26297770
03/14/25, 84.96, 85.37, 84.06, 85.35, 35500648
03/13/25, 84.94, 85.45, 83.87, 84.50, 31507750
03/12/25, 87.88, 89.10, 84.88, 85.20, 33301609
03/11/25, 87.29, 89.345, 87.14, 87.44, 28687590
03/10/25, 89.76, 90.23, 86.61, 87.82, 35148840
03/07/25, 93.94, 93.95, 90.76, 91.72, 35913160
03/06/25, 94.80, 96.19, 94.1833, 94.64, 19957801
03/05/25, 94.97, 96.39, 94.75, 95.98, 17638961
03/04/25, 95.76, 97.05, 94.46, 94.97, 25227670
03/03/25, 97.98, 99.49, 96.825, 97.59, 18372189
02/28/25, 97.79, 98.86, 97.17, 98.61, 25451260
02/27/25, 95.90, 98.0399, 95.8092, 96.79, 16431471
02/26/25, 97.70, 98.725, 96.07, 96.20, 19069721
02/25/25, 94.35, 97.91, 94.24, 97.69, 29331189
02/24/25, 94.18, 94.64, 92.12, 93.67, 29755881
02/21/25, 96.53, 96.85, 94.115, 94.78, 35014809
02/20/25, 98.78, 100.12, 96.6808, 97.21, 55450922
02/19/25, 103.85, 104.20, 102.55, 104.00, 18507980
02/18/25, 103.72, 103.99, 102.51, 103.78, 18247311
02/14/25, 105.30, 105.30, 103.60, 104.04, 14109460
02/13/25, 104.00, 105.24, 103.53, 105.05, 12604410
02/12/25, 102.12, 103.90, 102.04, 103.61, 15162130
02/11/25, 102.62, 102.85, 101.85, 102.47, 11953630
02/10/25, 101.95, 102.93, 101.25, 102.92, 15274640
02/07/25, 103.00, 103.11, 101.11, 101.15, 12451070
02/06/25, 102.53, 103.02, 101.94, 102.85, 13088470
02/05/25, 100.65, 102.58, 100.54, 102.46, 15926720
02/04/25, 99.97, 100.95, 99.69, 100.77, 15201190
02/03/25, 96.77, 99.79, 96.47, 99.54, 20484150
01/31/25, 99.00, 99.00, 97.70, 98.16, 16413891
01/30/25, 97.69, 98.93, 97.42, 98.65, 11012220
01/29/25, 97.425, 98.17, 97.22, 97.50, 11261440
01/28/25, 97.23, 97.84, 96.7251, 97.29, 14641620
01/27/25, 95.90, 97.46, 94.82, 97.40, 18880609
01/24/25, 93.54, 95.01, 93.455, 94.76, 14973770
01/23/25, 92.96, 93.81, 92.32, 93.81, 14198440
01/22/25, 93.77, 94.00, 92.52, 93.23, 15567060
01/21/25, 92.48, 94.24, 92.31, 93.08, 23247449
01/17/25, 92.07, 92.26, 91.05, 91.94, 15868210
01/16/25, 91.50, 91.72, 90.12, 91.30, 13267720
01/15/25, 91.065, 91.725, 90.81, 91.34, 17348170
01/14/25, 91.86, 91.98, 90.565, 90.79, 13549160
01/13/25, 92.12, 92.43, 91.10, 91.53, 18617080
01/10/25, 92.49, 93.575, 92.20, 93.00, 18140859
01/08/25, 91.11, 91.845, 90.82, 91.80, 13453630
01/07/25, 91.70, 91.94, 90.45, 90.81, 11238040
01/06/25, 90.83, 92.47, 90.67, 91.43, 14519860
01/03/25, 90.15, 91.30, 90.14, 90.78, 10834630
01/02/25, 89.98, 90.60, 89.52, 90.00, 14820440
12/31/24, 90.57, 90.94, 90.055, 90.35, 11267650
12/30/24, 90.73, 91.07, 90.13, 90.57, 9790196
12/27/24, 92.13, 92.35, 91.03, 91.66, 11384360
12/26/24, 92.54, 92.875, 92.17, 92.79, 10997610
12/24/24, 90.37, 92.68, 90.35, 92.68, 8992427
12/23/24, 91.50, 91.50, 88.91, 90.35, 26205381
12/20/24, 93.01, 93.7486, 91.63, 92.24, 49350594
12/19/24, 94.48, 94.565, 93.36, 93.40, 16606500
12/18/24, 95.34, 95.895, 93.1304, 93.55, 24665600
12/17/24, 95.14, 95.49, 94.32, 95.42, 23560820
12/16/24, 94.42, 95.705, 94.1048, 94.87, 16741990
12/13/24, 93.80, 94.68, 93.04, 94.25, 11495850
12/12/24, 95.68, 95.715, 94.09, 94.09, 14298630
12/11/24, 94.54, 95.69, 94.50, 94.96, 19682090
12/10/24, 94.05, 95.24, 93.77, 94.55, 13164490
12/09/24, 95.66, 95.94, 93.602, 93.83, 20931080
12/06/24, 95.54, 96.18, 95.33, 95.70, 18803500
12/05/24, 94.89, 95.60, 94.34, 95.30, 21932330
12/04/24, 93.45, 94.515, 93.05, 94.45, 17312580
12/03/24, 92.78, 93.59, 92.26, 93.51, 17775230
12/02/24, 92.82, 92.9887, 91.95, 92.64, 17172949
11/29/24, 92.26, 92.64, 91.82, 92.50, 11041180
11/27/24, 92.00, 92.25, 91.31, 91.88, 14358860
11/26/24, 89.89, 91.88, 89.84, 91.31, 16657020
11/25/24, 90.50, 90.95, 89.06, 89.50, 25078631
11/22/24, 89.41, 90.91, 88.93, 90.44, 23990650
11/21/24, 87.45, 88.64, 86.93, 88.39, 18729221
11/20/24, 86.60, 87.20, 85.91, 87.18, 18183189
11/19/24, 86.23, 88.29, 85.91, 86.60, 36340859
11/18/24, 84.82, 84.85, 83.66, 84.08, 25278119
11/15/24, 84.53, 84.78, 83.942, 84.25, 17370600
11/14/24, 85.03, 85.76, 84.34, 84.47, 15740730
11/13/24, 84.99, 85.79, 84.77, 85.50, 12802620
11/12/24, 84.50, 85.53, 84.50, 84.99, 12860190
11/11/24, 84.95, 85.41, 84.12, 84.21, 10433170
11/08/24, 84.28, 85.42, 84.23, 84.83, 14396540
11/07/24, 83.72, 84.39, 83.42, 83.85, 12665780
11/06/24, 85.14, 85.54, 82.06, 83.44, 19974039
11/05/24, 82.68, 83.77, 82.51, 83.68, 10612490
11/04/24, 82.20, 82.905, 82.00, 82.45, 11731040
11/01/24, 82.53, 82.53, 81.54, 82.19, 12181830
10/31/24, 81.29, 82.44, 81.22, 81.95, 15538970
10/30/24, 81.60, 81.83, 81.30, 81.39, 9268824
10/29/24, 82.67, 82.86, 81.665, 81.70, 9682403
10/28/24, 82.75, 83.08, 82.47, 82.75, 7990186
10/25/24, 83.20, 83.30, 82.435, 82.51, 8959412
10/24/24, 82.96, 83.315, 82.58, 83.04, 11645860
10/23/24, 81.89, 83.34, 81.80, 83.27, 13058240
10/22/24, 81.11, 82.225, 80.825, 82.02, 12240150
10/21/24, 81.23, 81.5496, 80.72, 80.81, 9750376
10/18/24, 80.87, 81.69, 80.66, 81.31, 12324150
10/17/24, 81.27, 81.50, 80.645, 80.89, 9424705
10/16/24, 81.53, 81.66, 80.62, 81.22, 11123250
10/15/24, 80.67, 81.8201, 80.51, 81.65, 13276220
10/14/24, 80.05, 80.51, 79.76, 80.29, 9914477
10/11/24, 79.70, 80.13, 79.37, 80.10, 9570734
10/10/24, 80.31, 80.32, 79.46, 79.61, 10812700
10/09/24, 79.82, 80.50, 79.75, 80.40, 12413030
10/08/24, 79.62, 79.82, 79.07, 79.71, 15269960
10/07/24, 80.69, 80.94, 78.98, 79.10, 16791650
10/04/24, 80.05, 81.115, 79.85, 80.94, 11591390
10/03/24, 80.30, 80.575, 79.85, 80.43, 11640420
10/02/24, 80.99, 80.99, 80.12, 80.43, 16618270
10/01/24, 80.68, 81.53, 80.435, 81.27, 16054250
09/30/24, 79.89, 80.94, 79.86, 80.75, 19008189
